duration,joint_1,joint_2
0.5,-0.0010285223,5.2610845e-05
0.1,10.0,5.2608975e-05
0.1,-0.0010284865,5.2608975e-05
0.1,10.0,5.2610845e-05
0.1,-0.0010284865,5.2608975e-05
