duration,joint_1,joint_2,joint_3,joint_4
0.5,2.385394,22.798203,62.385284,47.083122
0.1,2.3853931,22.798204,62.38525,47.083096
0.1,2.3853934,22.798193,62.38521,47.083084
0.1,2.3853927,22.798206,62.38525,47.083096
0.1,2.3853934,22.798193,62.38521,47.083084

