duration,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
1.0,-0.16875234,-4.7340493,16.629915,-19.095,90.45881,2.2876003,0.12111098
1.5,-30.799763,-30.800056,26.599737,-149.99904,12.100124,2.2876527,0.121184744
1.0,-63.400177,-15.999736,26.599998,-144.89801,12.099867,2.2876637,0.121089965

1.0,-63.400177,-15.999736,26.599998,-130.89801,12.099867,2.2876637,0.121089965
0.5,-63.400177,-15.999736,26.599998,-137.00000,12.099867,2.2876637,0.121089965
0.5,-63.400177,-15.999736,26.599998,-130.89801,12.099867,2.2876637,0.121089965
0.5,-63.400177,-15.999736,26.599998,-137.00000,12.099867,2.2876637,0.121089965

-1, 뉴트럴 포즈 돌아가기
3.0,-0.16875234,-4.7340493,16.629915,-19.095,90.45881,2.2876003,0.12111098
