duration ,joint_1    ,joint_2
     3.0 ,0.0        ,0.0

     1.5 ,10.0001335 ,2.7925718e-05
     1.5 ,10.0001335 ,2.7925718e-05


     1.0 ,10.0       ,20.0
     2.0 ,10.0       ,20.0


     0.5 ,-5         ,0
     0.5 ,-5         ,0
     0.5 ,5          ,0
     0.5 ,0          ,0


     3.0 ,0.0        ,0.0

